mAp[eV],eps
1.97E-15,0.305878628
2.79E-15,0.161470238
4.08E-15,0.072656032
5.98E-15,0.034480397
8.75E-15,0.016363373
9.38E-15,0.01068813
9.71E-15,7.6629E-06
1.15E-14,6.53174E-06
1.52E-14,6.53174E-06
1.81E-14,5.00521E-06
1.88E-14,2.82E-07
2.39E-14,2.28E-07
3.27E-14,1.95E-07
4.46E-14,1.75E-07
6.09E-14,1.57E-07
8.33E-14,1.49E-07
1.18E-13,1.41E-07
1.55E-13,1.34E-07
2.05E-13,1.27E-07
2.90E-13,1.20E-07
3.70E-13,1.03E-07
3.96E-13,1.27E-07
4.10E-13,2.37532E-06
4.71E-13,2.93906E-06
6.66E-13,3.09977E-06
1.24E-12,2.93906E-06
1.76E-12,2.78668E-06
2.96E-12,2.37532E-06
3.26E-12,2.44934E-06
4.66E-12,2.32271E-06
7.96E-12,2.08874E-06
1.55E-11,1.68914E-06
2.90E-11,1.22839E-06
5.92E-11,7.22E-07
1.16E-10,4.03E-07
2.16E-10,2.25E-07
4.03E-10,1.25E-07
6.58E-10,7.37E-08
9.83E-10,3.90E-08
1.23E-09,3.90E-08
1.84E-09,3.50E-08
2.87E-09,3.32E-08
4.29E-09,3.15E-08
6.12E-09,3.15E-08
7.32E-09,3.50E-08
8.75E-09,2.99E-08
2.92E-08,2.83E-08
9.73E-08,2.83E-08