mAp[eV],eps
1.73E-14,0.057571041
1.84E-14,5.12E-07
2.50E-14,4.37E-07
3.39E-14,3.93E-07
4.90E-14,3.54E-07
7.51E-14,3.18E-07
1.22E-13,2.86E-07
1.56E-13,2.71E-07
1.88E-13,2.44E-07
2.12E-13,1.98E-07
2.25E-13,6.14137E-06
2.88E-13,5.82514E-06
5.30E-13,5.24068E-06
9.19E-13,4.71487E-06
1.41E-12,4.02339E-06
2.44E-12,3.61971E-06
5.08E-12,3.43332E-06
9.36E-12,3.08884E-06
1.62E-11,2.77893E-06
3.38E-11,2.13345E-06
5.51E-11,1.63789E-06
7.03E-11,1.32571E-06
1.22E-10,8.24E-07
3.05E-10,3.54E-07
5.28E-10,2.08E-07
8.09E-10,1.29E-07
1.17E-09,8.94E-08
1.79E-09,8.94E-08
2.92E-09,8.94E-08
5.06E-09,8.94E-08
1.12E-08,8.94E-08
1.94E-08,8.94E-08
3.36E-08,8.94E-08
5.83E-08,8.94E-08
1.21E-07,8.94E-08
1,8.94E-08